AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT492/20,AT1222/21,"10,0%","90,0%","0,0%","40,0%",Türklab Tibbi Malzemeleri San. Ve Tic. A.S,RTCV03,Rapidan Tester COVID-19 Ag Test,N
AT496/20,AT1265/21,"25,0%","100,0%","0,0%","50,0%","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WJ-2910,Wantai SARS-CoV-2 Ag Schnelltest (Kolloidales Gold),N
AT498/20,,"35,0%","100,0%","10,0%","56,0%",Convergent Technologies,1100-5330,Convergys® COVID-19 Rapid Antigen Test,N
AT506/20,,"0,0%","0,0%","0,0%","0,0%","Absology Co.,Ltd.",ABCAR-020,INIST COVID-19 Ag Rapid,N
AT506/21,,"25,0%","100,0%","0,0%","50,0%",Sansure Biotech Inc.,S3109E,SARS-CoV-2 Rapid Antigen Test (Colloidal Gold Method),N
AT507/20,,"30,4%","100,0%","0,0%","48,0%",Vitrosens Biyoteknoloji Ltd. Sti,VSCD02,RapidFor SARS-CoV-2 Rapid Antigen Test Colloidal Gold,N
AT516/21,,"70,0%","100,0%","40,0%","76,0%","Zhejiang Gene Science Co., Ltd.",n.a.,Novel Coronavirus (COVID-19) Antigen Detection Kit (Latex Immunochromatography),N
AT517/20,,"56,5%","100,0%","0,0%","60,0%","Nantong Diagnos Biotechnology Co., Ltd.",17252668,COVID-19 Antigen Saliva Test Kit (Colloidal Gold),N
AT518/20,,"95,0%","100,0%","20,0%","82,0%",Artron Laboratories Inc.,A03-50-422,COVID-19 Antigentest,N
AT527/20,,"90,0%","100,0%","0,0%","76,0%","JOYSBIO (Tianjin) Biotechnology Co., Ltd.",COV-AG-20 / G10313,SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold) SPUCKTEST,N
AT533/21,AT1295/21,"35,0%","100,0%","0,0%","54,0%",Goldsite Diagnostics Inc.,CG123005,Goldsite COVID-19 SARS-CoV-2 Antigen Kit (Colloidal Gold),N
AT538/20,,"52,2%","100,0%","0,0%","58,0%","PCL, Inc.",COV04S,PCL COVID19 Ag Gold Saliva,N
AT542/20,,"13,0%","82,4%","0,0%","34,0%","Guangdong Hecin Scientific,Inc.",n.a.,2019-nCoV Antigen Test Kit (colloidal gold method),N
AT542/21,AT1290/21,"80,0%","100,0%","0,0%","72,0%","Zhuhai Lituo Biotechnology Co., Ltd.",n.a.,COVID-19 Antigen Detection Kit (Colloidal Gold),N
AT543/21,,"0,0%","20,0%","0,0%","8,0%","Changsha Sanji Bio-technology Co., Ltd",n.a.,SARS-CoV-2 Antigen Rapid Test (Laterial Flow Method),N
AT544/21,AT1308/21,"15,0%","90,0%","0,0%","42,0%","Shenzhen Microprofit Biotech Co., Ltd.",MF-68,fluorecare SARS-CoV-2 Antigen Test Kit,N
AT559/21,,"35,0%","100,0%","0,0%","54,0%","Jinan Babio Biotechnology Co., Ltd.",n.a.,SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method),N
